train
 (<tf.Tensor 'IteratorGetNext:0' shape=(?, 6) dtype=int64>, <tf.Tensor 'IteratorGetNext:1' shape=(?,) dtype=int64>, <tf.Tensor 'IteratorGetNext:2' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext:3' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext:4' shape=(?, ?) dtype=int64>)
test
 (<tf.Tensor 'IteratorGetNext_1:0' shape=(?, 6) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:1' shape=(?,) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:2' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:3' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:4' shape=(?, ?) dtype=int64>)
Epoch 1, loss 5.5121, acc 0.1700 test_acc 0.2157, time 1.90
Epoch 71, loss 0.6059, acc 0.8600 test_acc 0.7575, time 1.27
Epoch 72, loss 0.3777, acc 0.9600 test_acc 0.7589, time 1.28
Epoch 73, loss 0.4349, acc 0.9100 test_acc 0.7534, time 1.29
Epoch 74, loss 0.4325, acc 0.9300 test_acc 0.7552, time 1.29
Epoch 75, loss 0.4765, acc 0.9100 test_acc 0.7593, time 1.26
Epoch 76, loss 0.3470, acc 0.9400 test_acc 0.7608, time 1.26
Epoch 77, loss 0.3235, acc 0.9700 test_acc 0.7600, time 1.26
Epoch 78, loss 0.3539, acc 0.9600 test_acc 0.7615, time 1.27
Epoch 79, loss 0.3682, acc 0.9300 test_acc 0.7604, time 1.29
Epoch 80, loss 0.4274, acc 0.9100 test_acc 0.7633, time 1.25
Epoch 81, loss 0.3737, acc 0.9300 test_acc 0.7622, time 1.31
Epoch 82, loss 0.3357, acc 0.9600 test_acc 0.7563, time 1.26
Epoch 83, loss 0.4436, acc 0.8900 test_acc 0.7641, time 1.27
Epoch 84, loss 0.3632, acc 0.9300 test_acc 0.7567, time 1.24
Epoch 85, loss 0.3320, acc 0.9500 test_acc 0.7619, time 1.30
Epoch 86, loss 0.3166, acc 0.9300 test_acc 0.7619, time 1.47
Epoch 87, loss 0.3568, acc 0.9300 test_acc 0.7641, time 1.44
Epoch 88, loss 0.3433, acc 0.9200 test_acc 0.7578, time 1.62
Epoch 89, loss 0.3586, acc 0.9500 test_acc 0.7626, time 1.49
Epoch 90, loss 0.3214, acc 0.9700 test_acc 0.7593, time 1.24
Epoch 91, loss 0.3511, acc 0.9200 test_acc 0.7589, time 1.15
Epoch 92, loss 0.4165, acc 0.8600 test_acc 0.7589, time 1.15
Epoch 93, loss 0.2448, acc 0.9800 test_acc 0.7633, time 1.14
Epoch 94, loss 0.2780, acc 0.9600 test_acc 0.7644, time 1.16
Epoch 95, loss 0.3245, acc 0.9600 test_acc 0.7593, time 1.24
Epoch 96, loss 0.2671, acc 0.9600 test_acc 0.7608, time 1.28
Epoch 97, loss 0.2833, acc 0.9700 test_acc 0.7652, time 1.25
Epoch 98, loss 0.2342, acc 0.9800 test_acc 0.7615, time 1.29
Epoch 99, loss 0.3587, acc 0.9000 test_acc 0.7611, time 1.25
Epoch 100, loss 0.3023, acc 0.9600 test_acc 0.7571, time 1.27
Epoch 101, loss 0.3208, acc 0.9500 test_acc 0.7648, time 1.28
Epoch 102, loss 0.2812, acc 0.9700 test_acc 0.7593, time 1.28
Epoch 103, loss 0.2605, acc 0.9400 test_acc 0.7600, time 1.27
Epoch 104, loss 0.2556, acc 0.9700 test_acc 0.7630, time 1.27
Epoch 105, loss 0.2676, acc 0.9500 test_acc 0.7582, time 1.26
Epoch 106, loss 0.2299, acc 0.9700 test_acc 0.7626, time 1.26
Epoch 107, loss 0.3703, acc 0.9300 test_acc 0.7652, time 1.25
Epoch 108, loss 0.2435, acc 0.9700 test_acc 0.7615, time 1.28
Epoch 109, loss 0.2424, acc 0.9600 test_acc 0.7644, time 1.27
Epoch 110, loss 0.2177, acc 0.9700 test_acc 0.7630, time 1.28
Epoch 111, loss 0.2255, acc 0.9900 test_acc 0.7611, time 1.28
Epoch 112, loss 0.1963, acc 0.9800 test_acc 0.7652, time 1.27
Epoch 113, loss 0.2229, acc 0.9600 test_acc 0.7608, time 1.26
Epoch 114, loss 0.3376, acc 0.9200 test_acc 0.7641, time 1.28
Epoch 115, loss 0.2060, acc 0.9800 test_acc 0.7644, time 1.26
Epoch 116, loss 0.2489, acc 0.9500 test_acc 0.7619, time 1.28
Epoch 117, loss 0.2806, acc 0.9800 test_acc 0.7652, time 1.27
Epoch 118, loss 0.1733, acc 0.9900 test_acc 0.7681, time 1.27
Epoch 119, loss 0.1985, acc 0.9700 test_acc 0.7637, time 1.25
Epoch 120, loss 0.2254, acc 0.9600 test_acc 0.7633, time 1.26
Epoch 121, loss 0.1871, acc 0.9800 test_acc 0.7652, time 1.26
Epoch 122, loss 0.1763, acc 0.9900 test_acc 0.7670, time 1.27
Epoch 123, loss 0.2402, acc 0.9600 test_acc 0.7648, time 1.26
Epoch 124, loss 0.2095, acc 0.9800 test_acc 0.7626, time 1.28
Epoch 125, loss 0.2195, acc 0.9900 test_acc 0.7637, time 1.26
Epoch 126, loss 0.1678, acc 0.9900 test_acc 0.7608, time 1.29
Epoch 127, loss 0.1851, acc 0.9800 test_acc 0.7611, time 1.27
Epoch 128, loss 0.2349, acc 0.9500 test_acc 0.7597, time 1.29
Epoch 129, loss 0.2048, acc 0.9600 test_acc 0.7652, time 1.27
Epoch 130, loss 0.1831, acc 0.9800 test_acc 0.7663, time 1.29
Epoch 131, loss 0.2356, acc 0.9700 test_acc 0.7637, time 1.27
Epoch 132, loss 0.1531, acc 0.9700 test_acc 0.7641, time 1.31
Epoch 133, loss 0.1658, acc 0.9900 test_acc 0.7600, time 1.23
Epoch 134, loss 0.1366, acc 1.0000 test_acc 0.7674, time 1.30
Epoch 135, loss 0.1798, acc 0.9800 test_acc 0.7637, time 1.26
Epoch 136, loss 0.1914, acc 0.9700 test_acc 0.7644, time 1.27
Epoch 137, loss 0.1521, acc 0.9900 test_acc 0.7648, time 1.27
Epoch 138, loss 0.1480, acc 1.0000 test_acc 0.7641, time 1.27
Epoch 139, loss 0.1657, acc 0.9900 test_acc 0.7644, time 1.28
Epoch 140, loss 0.1933, acc 0.9800 test_acc 0.7644, time 1.28
Epoch 141, loss 0.1521, acc 0.9800 test_acc 0.7604, time 1.27
Epoch 142, loss 0.1494, acc 0.9900 test_acc 0.7626, time 1.26
Epoch 143, loss 0.2209, acc 0.9500 test_acc 0.7633, time 1.29
Epoch 144, loss 0.1450, acc 1.0000 test_acc 0.7648, time 1.29
Epoch 145, loss 0.1523, acc 0.9700 test_acc 0.7644, time 1.25
Epoch 146, loss 0.1294, acc 1.0000 test_acc 0.7608, time 1.25
Epoch 147, loss 0.1797, acc 0.9900 test_acc 0.7663, time 1.29
Epoch 148, loss 0.1720, acc 0.9700 test_acc 0.7663, time 1.26
Epoch 149, loss 0.1773, acc 0.9700 test_acc 0.7644, time 1.27
Epoch 150, loss 0.1440, acc 0.9800 test_acc 0.7667, time 1.28
Epoch 151, loss 0.1274, acc 0.9900 test_acc 0.7630, time 1.26
Epoch 152, loss 0.1408, acc 1.0000 test_acc 0.7589, time 1.29
Epoch 153, loss 0.1685, acc 0.9800 test_acc 0.7626, time 1.27
Epoch 154, loss 0.1475, acc 0.9900 test_acc 0.7604, time 1.25
Epoch 155, loss 0.1483, acc 0.9800 test_acc 0.7670, time 1.29
Epoch 156, loss 0.1212, acc 1.0000 test_acc 0.7593, time 1.25
Epoch 157, loss 0.1327, acc 0.9800 test_acc 0.7637, time 1.26
Epoch 158, loss 0.1547, acc 0.9800 test_acc 0.7622, time 1.28
Epoch 159, loss 0.1165, acc 0.9900 test_acc 0.7608, time 1.25
Epoch 160, loss 0.1335, acc 0.9800 test_acc 0.7586, time 1.25
Epoch 161, loss 0.1521, acc 0.9700 test_acc 0.7630, time 1.26
Epoch 162, loss 0.1316, acc 0.9900 test_acc 0.7578, time 1.28
Epoch 163, loss 0.1498, acc 0.9800 test_acc 0.7608, time 1.28
Epoch 164, loss 0.1461, acc 0.9900 test_acc 0.7644, time 1.24
Epoch 165, loss 0.1512, acc 0.9800 test_acc 0.7637, time 1.26
Epoch 166, loss 0.1492, acc 0.9900 test_acc 0.7615, time 1.28
Epoch 167, loss 0.1537, acc 0.9900 test_acc 0.7626, time 1.27
Epoch 168, loss 0.1536, acc 0.9700 test_acc 0.7615, time 1.26
Epoch 169, loss 0.1770, acc 0.9600 test_acc 0.7648, time 1.25
Epoch 170, loss 0.1290, acc 0.9900 test_acc 0.7586, time 1.26
Epoch 171, loss 0.1661, acc 0.9600 test_acc 0.7644, time 1.25
Epoch 172, loss 0.1791, acc 0.9600 test_acc 0.7597, time 1.30
Epoch 173, loss 0.1307, acc 0.9900 test_acc 0.7578, time 1.27
Epoch 174, loss 0.1297, acc 0.9800 test_acc 0.7656, time 1.27
Epoch 175, loss 0.1102, acc 1.0000 test_acc 0.7622, time 1.27
Epoch 176, loss 0.1357, acc 0.9700 test_acc 0.7644, time 1.26
Epoch 177, loss 0.1475, acc 0.9800 test_acc 0.7597, time 1.27
Epoch 178, loss 0.1091, acc 0.9800 test_acc 0.7626, time 1.27
Epoch 179, loss 0.1730, acc 0.9500 test_acc 0.7615, time 1.25
Epoch 180, loss 0.1185, acc 0.9900 test_acc 0.7600, time 1.28
Epoch 181, loss 0.1245, acc 0.9900 test_acc 0.7589, time 1.27
Epoch 182, loss 0.1118, acc 0.9900 test_acc 0.7626, time 1.26
Epoch 183, loss 0.1247, acc 0.9900 test_acc 0.7633, time 1.29
Epoch 184, loss 0.1664, acc 0.9600 test_acc 0.7586, time 1.27
Epoch 185, loss 0.1269, acc 0.9900 test_acc 0.7615, time 1.26
Epoch 186, loss 0.1418, acc 0.9800 test_acc 0.7656, time 1.28
Epoch 187, loss 0.1309, acc 0.9800 test_acc 0.7619, time 1.27
Epoch 188, loss 0.1300, acc 0.9800 test_acc 0.7582, time 1.26
Epoch 189, loss 0.0851, acc 1.0000 test_acc 0.7648, time 1.26
Epoch 190, loss 0.1051, acc 0.9800 test_acc 0.7633, time 1.27
Epoch 191, loss 0.0940, acc 1.0000 test_acc 0.7637, time 1.26
Epoch 192, loss 0.1239, acc 0.9900 test_acc 0.7622, time 1.26
Epoch 193, loss 0.1321, acc 0.9900 test_acc 0.7622, time 1.28
Epoch 194, loss 0.0960, acc 1.0000 test_acc 0.7545, time 1.28
Epoch 195, loss 0.1240, acc 1.0000 test_acc 0.7630, time 1.26
Epoch 196, loss 0.1056, acc 0.9900 test_acc 0.7608, time 1.23
Epoch 197, loss 0.1042, acc 0.9900 test_acc 0.7589, time 1.28
Epoch 198, loss 0.1088, acc 0.9800 test_acc 0.7626, time 1.27
Epoch 199, loss 0.1010, acc 0.9900 test_acc 0.7552, time 1.27
Epoch 200, loss 0.0943, acc 0.9900 test_acc 0.7582, time 1.26
Done training, best_step: 5900, best_acc: 0.7681
duration: 0.07 hours
train
 (<tf.Tensor 'IteratorGetNext:0' shape=(?, 6) dtype=int64>, <tf.Tensor 'IteratorGetNext:1' shape=(?,) dtype=int64>, <tf.Tensor 'IteratorGetNext:2' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext:3' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext:4' shape=(?, ?) dtype=int64>)
test
 (<tf.Tensor 'IteratorGetNext_1:0' shape=(?, 6) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:1' shape=(?,) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:2' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:3' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:4' shape=(?, ?) dtype=int64>)
accuracy: 0.7637
<<< (2*9+1)-WAY EVALUATION (USING DIRECTIONALITY)>>>:

Confusion matrix:
        C-E1 C-E2 C-W1 C-W2 C-C1 C-C2 E-D1 E-D2 E-O1 E-O2 I-A1 I-A2 M-C1 M-C2 M-T1 M-T2 P-P1 P-P2  _O_ <-- classified as
      +-----------------------------------------------------------------------------------------------+ -SUM- skip ACTUAL
 C-E1 | 124    3    2    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    3 |  134    0  134
 C-E2 |   1  177    0    1    0    0    0    0    5    0    0    0    0    0    1    2    3    0    4 |  194    0  194
 C-W1 |   1    0  138    5    2    1    0    0    0    0    0    0    3    2    1    0    0    0    9 |  162    0  162
 C-W2 |   0    0    7  109    2    3    2    0    2    0    0    6    0    3    5    1    0    4    6 |  150    0  150
 C-C1 |   0    0    4    1  132    3    8    0    2    0    0    0    0    0    0    1    0    0    2 |  153    0  153
 C-C2 |   0    0    0    0    5   31    0    0    0    2    0    0    0    0    0    0    0    0    1 |   39    0   39
 E-D1 |   0    0    2    0    8    0  269    0    0    0    0    0    0    0    0    0    0    0   12 |  291    0  291
 E-D2 |   0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0 |    1    0    1
 E-O1 |   0    5    2    0    2    0    7    0  174    0    0    0    0    0    1    2    3    1   14 |  211    0  211
 E-O2 |   0    0    0    0    0    0    2    0    0   40    1    0    0    0    0    0    0    2    2 |   47    0   47
 I-A1 |   1    0    1    0    0    0    0    0    0    0   13    0    0    0    0    0    4    1    2 |   22    0   22
 I-A2 |   1    0    3   11    0    1    2    0    2    1    0   86    1    1    1    0    1    6   17 |  134    0  134
 M-C1 |   0    0    0    0    0    0    1    0    2    0    0    0   21    2    0    1    0    0    5 |   32    0   32
 M-C2 |   0    0    3    3    0    0    0    0    0    0    0    0    0  182    0    1    1    0   11 |  201    0  201
 M-T1 |   0    0    0    0    0    0    0    0    0    0    0    0    0    1  193    2    1    1   12 |  210    0  210
 M-T2 |   0    0    0    1    0    0    0    0    0    0    0    0    0    0    1   45    0    0    4 |   51    0   51
 P-P1 |   0    4    2    0    0    0    0    0    5    0    1    0    0    0    2    0   82    1   11 |  108    0  108
 P-P2 |   1    1    1    2    0    1    3    0    0    0    0   10    0    1    1    4    0   92    6 |  123    0  123
  _O_ |  15   14   26   17   22    5   33    0   25    4    4   15    8   29   33   10   13   14  167 |  454    0  454
      +-----------------------------------------------------------------------------------------------+
 -SUM-  144  204  191  150  173   45  328    0  217   47   19  117   33  221  240   69  108  123  288   2717    0 2717

Coverage = 2717/2717 = 100.00%
Accuracy (calculated for the above confusion matrix) = 2075/2717 = 76.37%
Accuracy (considering all skipped examples as Wrong) = 2075/2717 = 76.37%
Accuracy (considering all skipped examples as Other) = 2075/2717 = 76.37%

Results for the individual relations:
      Cause-Effect(e1,e2) :    P =  124/ 144 =  86.11%     R =  124/ 134 =  92.54%     F1 =  89.21%
      Cause-Effect(e2,e1) :    P =  177/ 204 =  86.76%     R =  177/ 194 =  91.24%     F1 =  88.94%
   Component-Whole(e1,e2) :    P =  138/ 191 =  72.25%     R =  138/ 162 =  85.19%     F1 =  78.19%
   Component-Whole(e2,e1) :    P =  109/ 150 =  72.67%     R =  109/ 150 =  72.67%     F1 =  72.67%
 Content-Container(e1,e2) :    P =  132/ 173 =  76.30%     R =  132/ 153 =  86.27%     F1 =  80.98%
 Content-Container(e2,e1) :    P =   31/  45 =  68.89%     R =   31/  39 =  79.49%     F1 =  73.81%
Entity-Destination(e1,e2) :    P =  269/ 328 =  82.01%     R =  269/ 291 =  92.44%     F1 =  86.91%
Entity-Destination(e2,e1) :    P =    0/   0 =   0.00%     R =    0/   1 =   0.00%     F1 =   0.00%
     Entity-Origin(e1,e2) :    P =  174/ 217 =  80.18%     R =  174/ 211 =  82.46%     F1 =  81.31%
     Entity-Origin(e2,e1) :    P =   40/  47 =  85.11%     R =   40/  47 =  85.11%     F1 =  85.11%
 Instrument-Agency(e1,e2) :    P =   13/  19 =  68.42%     R =   13/  22 =  59.09%     F1 =  63.41%
 Instrument-Agency(e2,e1) :    P =   86/ 117 =  73.50%     R =   86/ 134 =  64.18%     F1 =  68.53%
 Member-Collection(e1,e2) :    P =   21/  33 =  63.64%     R =   21/  32 =  65.62%     F1 =  64.62%
 Member-Collection(e2,e1) :    P =  182/ 221 =  82.35%     R =  182/ 201 =  90.55%     F1 =  86.26%
     Message-Topic(e1,e2) :    P =  193/ 240 =  80.42%     R =  193/ 210 =  91.90%     F1 =  85.78%
     Message-Topic(e2,e1) :    P =   45/  69 =  65.22%     R =   45/  51 =  88.24%     F1 =  75.00%
  Product-Producer(e1,e2) :    P =   82/ 108 =  75.93%     R =   82/ 108 =  75.93%     F1 =  75.93%
  Product-Producer(e2,e1) :    P =   92/ 123 =  74.80%     R =   92/ 123 =  74.80%     F1 =  74.80%
                   _Other :    P =  167/ 288 =  57.99%     R =  167/ 454 =  36.78%     F1 =  45.01%

Micro-averaged result (excluding Other):
P = 1908/2429 =  78.55%     R = 1908/2263 =  84.31%     F1 =  81.33%

MACRO-averaged result (excluding Other):
P =  71.92%	R =  76.54%	F1 =  73.97%



<<< (9+1)-WAY EVALUATION IGNORING DIRECTIONALITY >>>:

Confusion matrix:
         C-E  C-W  C-C  E-D  E-O  I-A  M-C  M-T  P-P  _O_ <-- classified as
      +--------------------------------------------------+ -SUM- skip ACTUAL
  C-E | 305    3    0    0    5    0    0    4    4    7 |  328    0  328
  C-W |   1  259    8    2    2    6    8    7    4   15 |  312    0  312
  C-C |   0    5  171    8    4    0    0    1    0    3 |  192    0  192
  E-D |   0    2    8  270    0    0    0    0    0   12 |  292    0  292
  E-O |   5    2    2    9  214    1    0    3    6   16 |  258    0  258
  I-A |   2   15    1    2    3   99    2    1   12   19 |  156    0  156
  M-C |   0    6    0    1    2    0  205    2    1   16 |  233    0  233
  M-T |   0    1    0    0    0    0    1  241    2   16 |  261    0  261
  P-P |   6    5    1    3    5   11    1    7  175   17 |  231    0  231
  _O_ |  29   43   27   33   29   19   37   43   27  167 |  454    0  454
      +--------------------------------------------------+
 -SUM-  348  341  218  328  264  136  254  309  231  288   2717    0 2717

Coverage = 2717/2717 = 100.00%
Accuracy (calculated for the above confusion matrix) = 2106/2717 = 77.51%
Accuracy (considering all skipped examples as Wrong) = 2106/2717 = 77.51%
Accuracy (considering all skipped examples as Other) = 2106/2717 = 77.51%

Results for the individual relations:
             Cause-Effect :    P =  305/ 348 =  87.64%     R =  305/ 328 =  92.99%     F1 =  90.24%
          Component-Whole :    P =  259/ 341 =  75.95%     R =  259/ 312 =  83.01%     F1 =  79.33%
        Content-Container :    P =  171/ 218 =  78.44%     R =  171/ 192 =  89.06%     F1 =  83.41%
       Entity-Destination :    P =  270/ 328 =  82.32%     R =  270/ 292 =  92.47%     F1 =  87.10%
            Entity-Origin :    P =  214/ 264 =  81.06%     R =  214/ 258 =  82.95%     F1 =  81.99%
        Instrument-Agency :    P =   99/ 136 =  72.79%     R =   99/ 156 =  63.46%     F1 =  67.81%
        Member-Collection :    P =  205/ 254 =  80.71%     R =  205/ 233 =  87.98%     F1 =  84.19%
            Message-Topic :    P =  241/ 309 =  77.99%     R =  241/ 261 =  92.34%     F1 =  84.56%
         Product-Producer :    P =  175/ 231 =  75.76%     R =  175/ 231 =  75.76%     F1 =  75.76%
                   _Other :    P =  167/ 288 =  57.99%     R =  167/ 454 =  36.78%     F1 =  45.01%

Micro-averaged result (excluding Other):
P = 1939/2429 =  79.83%     R = 1939/2263 =  85.68%     F1 =  82.65%

MACRO-averaged result (excluding Other):
P =  79.19%	R =  84.45%	F1 =  81.60%



<<< (9+1)-WAY EVALUATION TAKING DIRECTIONALITY INTO ACCOUNT -- OFFICIAL >>>:

Confusion matrix:
         C-E  C-W  C-C  E-D  E-O  I-A  M-C  M-T  P-P  _O_ <-- classified as
      +--------------------------------------------------+ -SUM- xDIRx skip  ACTUAL
  C-E | 301    3    0    0    5    0    0    4    4    7 |  324     4     0    328
  C-W |   1  247    8    2    2    6    8    7    4   15 |  300    12     0    312
  C-C |   0    5  163    8    4    0    0    1    0    3 |  184     8     0    192
  E-D |   0    2    8  269    0    0    0    0    0   12 |  291     1     0    292
  E-O |   5    2    2    9  214    1    0    3    6   16 |  258     0     0    258
  I-A |   2   15    1    2    3   99    2    1   12   19 |  156     0     0    156
  M-C |   0    6    0    1    2    0  203    2    1   16 |  231     2     0    233
  M-T |   0    1    0    0    0    0    1  238    2   16 |  258     3     0    261
  P-P |   6    5    1    3    5   11    1    7  174   17 |  230     1     0    231
  _O_ |  29   43   27   33   29   19   37   43   27  167 |  454     0     0    454
      +--------------------------------------------------+
 -SUM-  344  329  210  327  264  136  252  306  230  288   2686    31     0   2717

Coverage = 2717/2717 = 100.00%
Accuracy (calculated for the above confusion matrix) = 2075/2717 = 76.37%
Accuracy (considering all skipped examples as Wrong) = 2075/2717 = 76.37%
Accuracy (considering all skipped examples as Other) = 2075/2717 = 76.37%

Results for the individual relations:
             Cause-Effect :    P =  301/( 344 +   4) =  86.49%     R =  301/ 328 =  91.77%     F1 =  89.05%
          Component-Whole :    P =  247/( 329 +  12) =  72.43%     R =  247/ 312 =  79.17%     F1 =  75.65%
        Content-Container :    P =  163/( 210 +   8) =  74.77%     R =  163/ 192 =  84.90%     F1 =  79.51%
       Entity-Destination :    P =  269/( 327 +   1) =  82.01%     R =  269/ 292 =  92.12%     F1 =  86.77%
            Entity-Origin :    P =  214/( 264 +   0) =  81.06%     R =  214/ 258 =  82.95%     F1 =  81.99%
        Instrument-Agency :    P =   99/( 136 +   0) =  72.79%     R =   99/ 156 =  63.46%     F1 =  67.81%
